"SCHOOL"	"STUDENT"	"SEX"	"RACE"	"HOMEW"	"SCHTYPE"	"SES"	"PARED"	"MATH"	"CLASSSTR"	"SCHSIZE"	"URBAN"	"GEO"	"MINORITY"	"RATIO"
24725	31	1	4	1	1	-1.05	2	41	4	2	3	3	0	18
24725	37	2	4	1	1	-1.54	2	41	4	2	3	3	0	18
24725	39	2	4	1	1	-0.14	2	37	4	2	3	3	0	18
24725	51	2	4	1	1	0.92	5	43	4	2	3	3	0	18
24725	54	2	4	2	1	-1.28	1	40	4	2	3	3	0	18
24725	65	1	4	1	1	-1.31	1	42	4	2	3	3	0	18
24725	68	1	4	5	1	-0.02	3	64	4	2	3	3	0	18
24725	78	2	4	4	1	-0.6	2	54	4	2	3	3	0	18
24725	85	1	4	4	1	-0.13	3	65	4	2	3	3	0	18
24725	88	1	2	1	1	-0.19	2	45	4	2	3	3	0	18
24725	89	1	4	2	1	-0.26	3	48	4	2	3	3	0	18
25456	1	2	4	0	1	0.44	3	62	4	2	3	3	1	12
25456	4	2	4	2	1	-0.75	3	33	4	2	3	3	1	12
25456	9	2	4	1	1	-0.89	2	53	4	2	3	3	1	12
25456	13	1	4	1	1	0.48	4	43	4	2	3	3	1	12
25456	19	2	4	0	1	-0.19	3	54	4	2	3	3	1	12
25456	20	1	4	0	1	-0.2	3	60	4	2	3	3	1	12
25456	29	1	4	2	1	0.05	3	58	4	2	3	3	1	12
25456	48	2	4	2	1	-0.43	3	49	4	2	3	3	1	12
25456	51	2	4	0	1	-0.14	3	49	4	2	3	3	1	12
25456	60	1	4	1	1	0.3	3	53	4	2	3	3	1	12
25456	61	1	4	1	1	-0.49	3	56	4	2	3	3	1	12
25456	65	1	4	1	1	-0.71	3	58	4	2	3	3	1	12
25456	66	1	4	0	1	-0.21	3	46	4	2	3	3	1	12
25456	67	1	4	2	1	-0.21	2	32	4	2	3	3	1	12
25456	68	2	4	0	1	1.08	5	60	4	2	3	3	1	12
25456	69	1	4	1	1	-1.29	2	48	4	2	3	3	1	12
25456	74	1	4	1	1	0.22	3	47	4	2	3	3	1	12
25456	76	2	4	0	1	-0.56	3	52	4	2	3	3	1	12
25456	78	1	4	1	1	-0.53	1	42	4	2	3	3	1	12
25456	84	1	4	1	1	0.23	3	58	4	2	3	3	1	12
25456	97	2	4	0	1	-0.67	1	41	4	2	3	3	1	12
25456	99	2	4	2	1	0.14	3	43	4	2	3	3	1	12
25642	7	1	2	1	1	-0.06	3	42	4	4	1	3	6	11
25642	9	2	2	1	1	-2.08	1	46	4	4	1	3	6	11
25642	24	2	2	1	1	-1.25	3	43	4	4	1	3	6	11
25642	33	2	2	1	1	-0.86	1	46	4	4	1	3	6	11
25642	36	1	2	1	1	-0.9	1	47	4	4	1	3	6	11
25642	37	2	2	1	1	-2.41	1	49	4	4	1	3	6	11
25642	42	2	2	2	1	0.18	3	47	4	4	1	3	6	11
25642	44	2	2	1	1	-1.41	1	44	4	4	1	3	6	11
25642	45	2	2	3	1	-1.05	1	39	4	4	1	3	6	11
25642	57	1	4	1	1	-1.35	3	41	4	4	1	3	6	11
25642	59	2	2	0	1	-1.11	2	51	4	4	1	3	6	11
25642	63	1	2	0	1	-1.35	1	45	4	4	1	3	6	11
25642	67	1	2	0	1	-0.53	3	57	4	4	1	3	6	11
25642	73	1	2	1	1	-1.29	2	47	4	4	1	3	6	11
25642	76	1	2	2	1	-1.92	1	42	4	4	1	3	6	11
25642	80	2	2	1	1	-0.97	3	47	4	4	1	3	6	11
25642	83	2	2	3	1	-0.33	3	47	4	4	1	3	6	11
25642	84	2	2	1	1	-0.15	2	51	4	4	1	3	6	11
25642	86	2	2	1	1	-2.23	1	53	4	4	1	3	6	11
25642	95	1	2	1	1	-0.3	3	44	4	4	1	3	6	11
62821	0	1	4	4	4	1.63	6	62	3	3	1	2	3	10
62821	1	2	4	5	4	0.48	4	68	3	3	1	2	3	10
62821	3	1	4	5	4	0.69	5	56	3	3	1	2	3	10
62821	4	2	4	5	4	0.6	4	68	3	3	1	2	3	10
62821	6	2	4	2	4	0.77	4	61	3	3	1	2	3	10
62821	7	2	4	2	4	1.19	5	61	3	3	1	2	3	10
62821	9	2	4	3	4	1.17	5	62	3	3	1	2	3	10
62821	11	2	4	1	4	1.12	6	60	3	3	1	2	3	10
62821	12	2	4	2	4	1.85	6	68	3	3	1	2	3	10
62821	13	1	4	0	4	0.75	4	63	3	3	1	2	3	10
62821	14	1	4	5	4	1	4	71	3	3	1	2	3	10
62821	16	1	4	1	4	1.8	6	61	3	3	1	2	3	10
62821	17	1	4	2	4	1.43	5	60	3	3	1	2	3	10
62821	18	2	1	5	4	-0.12	4	69	3	3	1	2	3	10
62821	19	2	3	6	4	0.98	5	70	3	3	1	2	3	10
62821	20	1	4	1	4	1	4	66	3	3	1	2	3	10
62821	22	1	4	2	4	1.23	5	63	3	3	1	2	3	10
62821	25	2	4	1	4	0.86	4	63	3	3	1	2	3	10
62821	26	2	4	2	4	0.18	4	67	3	3	1	2	3	10
62821	27	2	4	5	4	1.48	6	62	3	3	1	2	3	10
62821	28	2	4	4	4	1.25	5	51	3	3	1	2	3	10
62821	29	1	4	4	4	1.18	5	64	3	3	1	2	3	10
62821	30	2	4	1	4	0.64	5	57	3	3	1	2	3	10
62821	31	1	4	4	4	1.13	4	67	3	3	1	2	3	10
62821	32	1	4	1	4	1.82	6	57	3	3	1	2	3	10
62821	34	2	4	4	4	1.34	6	69	3	3	1	2	3	10
62821	35	1	4	1	4	0.68	4	54	3	3	1	2	3	10
62821	39	2	4	5	4	1.11	4	69	3	3	1	2	3	10
62821	40	2	4	5	4	1.4	5	63	3	3	1	2	3	10
62821	41	2	4	1	4	0.79	6	43	3	3	1	2	3	10
62821	42	2	4	5	4	1.61	6	60	3	3	1	2	3	10
62821	43	1	4	4	4	1.03	5	71	3	3	1	2	3	10
62821	44	1	4	0	4	1.38	5	63	3	3	1	2	3	10
62821	46	1	4	2	4	1.28	6	56	3	3	1	2	3	10
62821	47	2	4	5	4	0.56	4	65	3	3	1	2	3	10
62821	48	1	4	4	4	1.03	5	69	3	3	1	2	3	10
62821	49	2	4	2	4	1.3	5	61	3	3	1	2	3	10
62821	54	2	4	5	4	1.23	6	70	3	3	1	2	3	10
62821	56	1	4	1	4	1.42	6	56	3	3	1	2	3	10
62821	57	1	4	3	4	1.01	5	61	3	3	1	2	3	10
62821	60	1	4	4	4	1.32	6	60	3	3	1	2	3	10
62821	61	2	4	3	4	0.97	5	65	3	3	1	2	3	10
62821	63	1	4	4	4	1.31	4	64	3	3	1	2	3	10
62821	64	1	4	7	4	0.09	3	65	3	3	1	2	3	10
62821	65	1	4	5	4	1.48	5	70	3	3	1	2	3	10
62821	66	1	1	1	4	-0.35	3	67	3	3	1	2	3	10
62821	68	2	4	1	4	0.4	3	63	3	3	1	2	3	10
62821	69	1	4	3	4	0.86	5	63	3	3	1	2	3	10
62821	70	1	4	4	4	0.85	4	64	3	3	1	2	3	10
62821	71	1	1	3	4	1.09	5	56	3	3	1	2	3	10
62821	72	2	4	3	4	1	4	63	3	3	1	2	3	10
62821	73	2	4	1	4	0.26	3	67	3	3	1	2	3	10
62821	75	1	1	4	4	0.98	5	54	3	3	1	2	3	10
62821	76	1	4	5	4	1.5	6	55	3	3	1	2	3	10
62821	77	1	4	3	4	0.93	5	67	3	3	1	2	3	10
62821	78	2	1	1	4	1.02	6	58	3	3	1	2	3	10
62821	80	1	4	5	4	1.55	6	57	3	3	1	2	3	10
62821	81	1	2	4	4	1.26	6	63	3	3	1	2	3	10
62821	82	2	4	6	4	1.68	6	67	3	3	1	2	3	10
62821	83	2	4	3	4	1.34	6	70	3	3	1	2	3	10
62821	86	1	4	5	4	1.05	5	69	3	3	1	2	3	10
62821	91	2	4	5	4	1.8	6	68	3	3	1	2	3	10
62821	92	1	4	5	4	0.68	4	52	3	3	1	2	3	10
62821	94	1	4	5	4	0.23	3	63	3	3	1	2	3	10
62821	95	2	4	2	4	1.22	6	55	3	3	1	2	3	10
62821	96	1	4	5	4	1.01	5	69	3	3	1	2	3	10
62821	99	1	4	4	4	1.18	5	68	3	3	1	2	3	10
68448	1	1	2	3	1	0.81	4	69	3	6	1	3	5	14
68448	6	1	3	1	1	-0.71	3	46	3	6	1	3	5	14
68448	16	2	3	2	1	-0.54	1	46	3	6	1	3	5	14
68448	18	1	4	1	1	0.01	3	44	3	6	1	3	5	14
68448	19	2	4	4	1	0.9	5	65	3	6	1	3	5	14
68448	20	1	4	1	1	0.97	5	52	3	6	1	3	5	14
68448	21	1	4	1	1	-0.14	3	40	3	6	1	3	5	14
68448	26	2	3	2	1	-0.13	3	54	3	6	1	3	5	14
68448	36	1	4	3	1	-0.88	3	58	3	6	1	3	5	14
68448	38	2	4	2	1	1.55	6	53	3	6	1	3	5	14
68448	43	2	4	3	1	0.86	6	62	3	6	1	3	5	14
68448	49	1	3	1	1	-0.55	2	40	3	6	1	3	5	14
68448	50	2	3	2	1	-0.02	3	34	3	6	1	3	5	14
68448	51	2	3	1	1	-0.69	3	41	3	6	1	3	5	14
68448	53	1	3	2	1	0.18	3	46	3	6	1	3	5	14
68448	63	1	4	1	1	-0.92	3	41	3	6	1	3	5	14
68448	68	1	3	2	1	-2.04	1	60	3	6	1	3	5	14
68448	79	2	3	3	1	-0.99	2	50	3	6	1	3	5	14
68448	81	2	3	1	1	-1.96	1	35	3	6	1	3	5	14
68448	89	2	4	5	1	1.05	5	65	3	6	1	3	5	14
68448	96	2	3	3	1	-0.35	3	42	3	6	1	3	5	14
68493	0	2	4	1	1	0.76	4	48	4	2	3	3	5	22
68493	7	1	3	1	1	-1.12	2	45	4	2	3	3	5	22
68493	8	1	4	2	1	0.29	3	48	4	2	3	3	5	22
68493	14	2	3	4	1	-0.99	2	62	4	2	3	3	5	22
68493	17	1	3	0	1	-0.49	4	43	4	2	3	3	5	22
68493	20	2	4	1	1	-0.32	2	56	4	2	3	3	5	22
68493	29	2	4	2	1	-0.29	2	40	4	2	3	3	5	22
68493	36	1	3	1	1	-1.42	2	37	4	2	3	3	5	22
68493	39	2	3	1	1	-2.04	1	34	4	2	3	3	5	22
68493	47	1	3	1	1	-1.1	1	38	4	2	3	3	5	22
68493	50	1	4	1	1	1.25	5	40	4	2	3	3	5	22
68493	53	2	4	2	1	-0.56	2	37	4	2	3	3	5	22
68493	59	1	4	1	1	0.71	4	56	4	2	3	3	5	22
68493	61	2	3	1	1	-1.33	1	41	4	2	3	3	5	22
68493	66	1	4	3	1	-0.12	3	71	4	2	3	3	5	22
68493	68	2	4	0	1	-0.69	1	48	4	2	3	3	5	22
68493	74	1	4	1	1	-0.66	2	42	4	2	3	3	5	22
68493	82	2	3	1	1	-1.18	1	41	4	2	3	3	5	22
68493	88	1	4	2	1	0.82	6	60	4	2	3	3	5	22
68493	89	2	3	1	1	-0.85	2	42	4	2	3	3	5	22
68493	92	2	4	1	1	-0.39	2	44	4	2	3	3	5	22
72292	2	2	4	5	1	-0.86	2	68	4	2	1	1	1	17
72292	17	1	4	3	1	-0.41	3	50	4	2	1	1	1	17
72292	44	2	4	1	1	-0.44	2	43	4	2	1	1	1	17
72292	49	2	4	2	1	-0.19	3	44	4	2	1	1	1	17
72292	52	1	4	0	1	-1.03	2	37	4	2	1	1	1	17
72292	53	1	4	4	1	0.03	4	67	4	2	1	1	1	17
72292	56	1	4	1	1	-0.72	3	37	4	2	1	1	1	17
72292	63	2	4	2	1	-1.28	1	43	4	2	1	1	1	17
72292	67	2	4	0	1	-0.84	2	36	4	2	1	1	1	17
72292	68	1	4	0	1	-0.49	2	37	4	2	1	1	1	17
72292	71	1	4	2	1	-0.67	2	62	4	2	1	1	1	17
72292	76	2	4	3	1	0.09	3	64	4	2	1	1	1	17
72292	77	1	4	3	1	-0.19	4	64	4	2	1	1	1	17
72292	82	1	4	1	1	-0.16	3	37	4	2	1	1	1	17
72292	85	2	4	0	1	-0.56	3	46	4	2	1	1	1	17
72292	89	1	4	2	1	-0.23	3	43	4	2	1	1	1	17
72292	92	1	4	0	1	-1.11	1	45	4	2	1	1	1	17
72292	97	1	4	1	1	-0.29	3	47	4	2	1	1	1	17
72292	98	1	4	1	1	-1.19	1	34	4	2	1	1	1	17
72292	99	2	4	1	1	0.45	4	53	4	2	1	1	1	17
6053	1	2	4	1	4	0.85	4	50	3	3	1	2	3	18
6053	2	2	4	1	4	0.43	3	43	3	3	1	2	3	18
6053	4	2	1	3	4	-0.59	3	50	3	3	1	2	3	18
6053	11	2	4	1	4	1.02	5	49	3	3	1	2	3	18
6053	12	1	4	1	4	0.84	5	62	3	3	1	2	3	18
6053	13	2	4	1	4	1.32	6	43	3	3	1	2	3	18
6053	18	1	4	1	4	-0.12	3	42	3	3	1	2	3	18
6053	22	1	4	4	4	0.98	4	68	3	3	1	2	3	18
6053	23	1	3	1	4	0.55	5	41	3	3	1	2	3	18
6053	24	1	4	5	4	1.63	6	62	3	3	1	2	3	18
6053	25	2	4	1	4	1.29	6	69	3	3	1	2	3	18
6053	26	2	4	0	4	1.02	6	60	3	3	1	2	3	18
6053	27	1	4	4	4	0.6	4	71	3	3	1	2	3	18
6053	28	1	4	1	4	1.23	6	56	3	3	1	2	3	18
6053	32	2	3	1	4	0.82	6	47	3	3	1	2	3	18
6053	33	2	4	1	4	0.82	5	58	3	3	1	2	3	18
6053	34	1	4	1	4	0.58	4	66	3	3	1	2	3	18
6053	36	1	1	2	4	1.66	6	41	3	3	1	2	3	18
6053	39	2	1	2	4	-0.64	3	60	3	3	1	2	3	18
6053	42	1	4	2	4	1.48	6	69	3	3	1	2	3	18
6053	43	1	4	1	4	0.85	5	44	3	3	1	2	3	18
6053	44	2	4	1	4	0.4	5	61	3	3	1	2	3	18
6053	45	2	4	2	4	0.73	4	65	3	3	1	2	3	18
6053	53	2	4	6	4	0.44	4	67	3	3	1	2	3	18
6053	55	2	4	1	4	0.37	3	57	3	3	1	2	3	18
6053	56	2	4	5	4	0.03	3	64	3	3	1	2	3	18
6053	57	2	4	4	4	-0.59	2	67	3	3	1	2	3	18
6053	60	2	4	1	4	1.3	5	65	3	3	1	2	3	18
6053	63	1	4	1	4	0.71	5	70	3	3	1	2	3	18
6053	64	2	4	4	4	1.49	6	59	3	3	1	2	3	18
6053	67	1	4	1	4	0.49	4	54	3	3	1	2	3	18
6053	68	1	4	1	4	0.48	4	53	3	3	1	2	3	18
6053	69	1	4	3	4	0.76	6	58	3	3	1	2	3	18
6053	71	1	4	7	4	1.5	6	59	3	3	1	2	3	18
6053	76	2	4	4	4	0.34	4	60	3	3	1	2	3	18
6053	77	2	4	1	4	1.57	6	48	3	3	1	2	3	18
6053	82	1	4	4	4	0.76	4	59	3	3	1	2	3	18
6053	84	2	2	4	4	0.63	4	50	3	3	1	2	3	18
6053	86	1	4	1	4	1.39	6	43	3	3	1	2	3	18
6053	87	1	4	2	4	0.07	4	48	3	3	1	2	3	18
6053	88	2	4	5	4	0.32	3	65	3	3	1	2	3	18
6053	93	2	1	2	4	0.31	4	41	3	3	1	2	3	18
6053	97	1	3	2	4	-0.18	3	50	3	3	1	2	3	18
6053	98	1	4	2	4	0.85	5	64	3	3	1	2	3	18
26537	8	2	4	1	4	-0.21	3	52	3	2	2	1	1	10
26537	11	2	4	5	4	1.36	5	64	3	2	2	1	1	10
26537	17	2	4	5	4	1.22	5	62	3	2	2	1	1	10
26537	24	2	4	5	4	1.01	5	67	3	2	2	1	1	10
26537	36	2	4	1	4	0.81	5	48	3	2	2	1	1	10
26537	38	2	5	2	4	1.71	6	50	3	2	2	1	1	10
26537	41	2	4	2	4	1.38	5	59	3	2	2	1	1	10
26537	42	2	4	4	4	0.85	4	67	3	2	2	1	1	10
26537	50	2	4	1	4	1.23	4	43	3	2	2	1	1	10
26537	68	2	1	1	4	1.23	5	45	3	2	2	1	1	10
26537	73	2	4	5	4	1.4	5	55	3	2	2	1	1	10
26537	76	2	4	1	4	1.02	5	43	3	2	2	1	1	10
26537	77	1	4	3	4	1.19	5	64	3	2	2	1	1	10
26537	83	2	4	1	4	1.63	6	49	3	2	2	1	1	10
26537	92	2	4	1	4	1.38	6	63	3	2	2	1	1	10
26537	95	2	4	4	4	1.61	6	71	3	2	2	1	1	10
46417	15	1	4	5	2	-0.16	4	67	4	5	1	1	1	28
46417	16	2	4	1	2	-0.22	2	57	4	5	1	1	1	28
46417	18	2	4	2	2	0.18	3	58	4	5	1	1	1	28
46417	22	2	4	4	2	0.83	4	69	4	5	1	1	1	28
46417	24	2	4	1	2	0.36	4	49	4	5	1	1	1	28
46417	40	1	2	1	2	1.1	5	70	4	5	1	1	1	28
46417	42	1	3	1	2	-1	3	47	4	5	1	1	1	28
46417	49	1	4	3	2	-0.51	3	69	4	5	1	1	1	28
46417	50	2	4	1	2	-0.39	3	54	4	5	1	1	1	28
46417	54	1	4	1	2	-0.43	2	49	4	5	1	1	1	28
46417	57	1	4	1	2	0.03	3	54	4	5	1	1	1	28
46417	58	2	4	1	2	-0.12	2	46	4	5	1	1	1	28
46417	65	1	4	3	2	-1.23	2	68	4	5	1	1	1	28
46417	66	2	4	1	2	-0.51	3	60	4	5	1	1	1	28
46417	67	1	4	1	2	-0.2	2	58	4	5	1	1	1	28
46417	74	2	4	1	2	-0.89	2	40	4	5	1	1	1	28
46417	78	1	4	3	2	-0.99	2	49	4	5	1	1	1	28
46417	80	2	4	2	2	0.23	3	50	4	5	1	1	1	28
46417	91	1	4	1	2	-0.48	2	40	4	5	1	1	1	28
46417	92	2	4	1	2	-0.29	2	44	4	5	1	1	1	28
46417	94	1	4	2	2	-0.29	2	67	4	5	1	1	1	28
46417	95	1	4	1	2	-1.29	2	55	4	5	1	1	1	28
46417	98	2	4	4	2	-0.16	3	61	4	5	1	1	1	28
47583	1	1	4	2	2	1.26	6	69	5	2	3	3	1	25
47583	8	2	4	1	2	-0.62	2	37	5	2	3	3	1	25
47583	10	1	4	4	2	0.54	5	58	5	2	3	3	1	25
47583	15	2	4	5	2	-0.63	2	65	5	2	3	3	1	25
47583	21	2	4	2	2	0.31	3	44	5	2	3	3	1	25
47583	22	2	4	4	2	0	3	49	5	2	3	3	1	25
47583	24	2	4	2	2	-0.37	3	49	5	2	3	3	1	25
47583	28	2	4	2	2	-0.05	3	49	5	2	3	3	1	25
47583	41	1	4	2	2	-0.37	2	40	5	2	3	3	1	25
47583	42	1	4	1	2	-0.39	2	38	5	2	3	3	1	25
47583	66	2	4	2	2	0.36	4	45	5	2	3	3	1	25
47583	68	1	4	2	2	0.73	4	49	5	2	3	3	1	25
47583	74	1	4	4	2	1.3	5	64	5	2	3	3	1	25
47583	76	1	4	2	2	-0.61	3	53	5	2	3	3	1	25
47583	78	1	4	1	2	-0.68	2	39	5	2	3	3	1	25
47583	88	1	1	2	2	-0.39	3	68	5	2	3	3	1	25
47583	89	2	4	1	2	0.03	3	44	5	2	3	3	1	25
47583	92	1	4	3	2	-0.63	3	43	5	2	3	3	1	25
47583	95	1	4	7	2	1.25	5	60	5	2	3	3	1	25
47583	98	1	4	6	2	0.54	4	58	5	2	3	3	1	25
54344	0	1	3	1	4	0.64	5	44	5	2	2	3	7	14
54344	4	1	2	5	4	0.41	4	58	5	2	2	3	7	14
54344	10	1	3	2	4	-0.36	4	38	5	2	2	3	7	14
54344	15	2	3	2	4	-0.1	3	41	5	2	2	3	7	14
54344	21	1	3	1	4	1.18	5	43	5	2	2	3	7	14
54344	30	2	3	1	4	0.83	4	41	5	2	2	3	7	14
54344	33	2	3	2	4	-1.09	1	36	5	2	2	3	7	14
54344	41	1	3	2	4	0.8	6	51	5	2	2	3	7	14
54344	47	2	3	1	4	0.72	5	48	5	2	2	3	7	14
54344	49	2	1	1	4	0.62	4	35	5	2	2	3	7	14
54344	50	2	3	2	4	0.76	5	36	5	2	2	3	7	14
54344	54	1	2	3	4	-0.62	3	41	5	2	2	3	7	14
54344	58	2	3	1	4	-0.02	3	41	5	2	2	3	7	14
54344	60	2	3	0	4	0.4	4	30	5	2	2	3	7	14
54344	76	1	3	1	4	0.97	5	44	5	2	2	3	7	14
54344	80	2	3	2	4	-0.43	3	39	5	2	2	3	7	14
54344	83	2	3	1	4	-0.56	3	35	5	2	2	3	7	14
54344	85	1	3	2	4	-0.62	2	38	5	2	2	3	7	14
54344	90	1	3	1	4	-0.14	3	39	5	2	2	3	7	14
6327	4	1	4	1	3	1	6	61	4	1	2	2	0	23
6327	9	1	4	1	3	0.56	3	56	4	1	2	2	0	23
6327	13	1	4	1	3	0.3	5	46	4	1	2	2	0	23
6327	15	1	4	0	3	0.75	5	60	4	1	2	2	0	23
6327	70	1	4	0	3	1.08	5	65	4	1	2	2	0	23
6327	81	2	4	3	3	-0.44	3	39	4	1	2	2	0	23
6327	90	1	4	0	3	1.23	6	67	4	1	2	2	0	23
6327	99	1	4	0	3	0.78	5	65	4	1	2	2	0	23
6467	3	2	4	3	3	-0.3	3	61	4	1	3	2	0	19
6467	43	1	4	0	3	-0.27	3	42	4	1	3	2	0	19
6467	56	2	4	3	3	-0.49	3	67	4	1	3	2	0	19
6467	58	1	4	4	3	1.16	6	67	4	1	3	2	0	19
6467	88	1	4	1	3	-1.07	2	46	4	1	3	2	0	19
7474	3	1	4	6	1	-0.24	2	42	5	2	3	2	0	13
7474	6	2	4	1	1	-0.89	3	48	5	2	3	2	0	13
7474	32	2	4	2	1	-1.05	1	57	5	2	3	2	0	13
7474	36	2	4	1	1	0.4	5	60	5	2	3	2	0	13
7474	38	2	4	1	1	0.94	6	67	5	2	3	2	0	13
7474	41	1	2	2	1	-0.55	2	48	5	2	3	2	0	13
7474	45	2	4	2	1	-0.57	3	51	5	2	3	2	0	13
7474	46	2	4	1	1	-0.26	3	46	5	2	3	2	0	13
7474	51	2	4	2	1	0.06	2	44	5	2	3	2	0	13
7474	52	2	4	1	1	-0.5	3	62	5	2	3	2	0	13
7474	58	1	4	1	1	0.46	3	63	5	2	3	2	0	13
7474	59	1	4	2	1	-1.04	2	47	5	2	3	2	0	13
7474	63	2	4	2	1	-0.67	3	56	5	2	3	2	0	13
7474	64	2	4	2	1	0.69	4	58	5	2	3	2	0	13
7474	68	2	4	1	1	0.07	3	54	5	2	3	2	0	13
7474	87	2	4	2	1	-0.92	2	54	5	2	3	2	0	13
